Name;Length [Bit];Byte Order;Value Type;Initial Value;Factor;Offset;Minimum;Maximum;Unit;Value Table;Comment;Message(s);SigFixedValue;InvalidValue;GenSigTimeoutTime;GenSigStartValue;GenSigInactiveValue;GenSigSendType
ABS_ACTIVE;2;Intel;Unsigned;3;1;0;0;3;;VtSig_ABS_ACTIVE;ABS activation indication;ABS_ESC_01;NoFixedValue;3;0;3;0;Cyclic
ActualValueVoltageLinkVerified;12;Intel;Unsigned;1023.75;0.25;0;0;1023.75;V;VtSig_ActualValueVoltageLinkVerified;The signal sends the link voltage as currently measured by the SME....;HighVoltageStorage10msNo2;NoFixedValue;1023.75;0;4095;0;Cyclic
AD3_PrsrVal_Fl;8;Intel;Unsigned;0;1;0;0;254;bar;VtSig_AD3_PrsrVal_Fl;Wheel brake press FL/Hydraulic Brake Pressure ;ESC_A;NoFixedValue;255;0;0;0;Cyclic
AD3_PrsrVal_Fr;8;Intel;Unsigned;0;1;0;0;254;bar;VtSig_AD3_PrsrVal_Fr;Wheel brake press Fr/Hydraulic Brake Pressure /Braking Pressure to wheel caliper;ESC_A;NoFixedValue;255;0;0;0;Cyclic
AD3_PrsrVal_Rl;8;Intel;Unsigned;0;1;0;0;254;bar;VtSig_AD3_PrsrVal_Rl;Wheel brake press Rl/Hydraulic Brake Pressure ;ESC_A;NoFixedValue;255;0;0;0;Cyclic
AD3_PrsrVal_Rr;8;Intel;Unsigned;0;1;0;0;254;bar;VtSig_AD3_PrsrVal_Rr;Wheel brake press Rr/Hydraulic Brake Pressure ;ESC_A;NoFixedValue;255;0;0;0;Cyclic
ALIV_AVL_RPM_WHL;4;Intel;Unsigned;0;1;0;0;14;;<none>;Alive counter;AVL_RPM_WHL;NoFixedValue;15;0;0;0;Cyclic
ALIV_CLAMP_STAT;4;Intel;Unsigned;0;1;0;0;14;;<none>;Alive counter;CLAMP_STAT;NoFixedValue;255;0;0;0;Cyclic
ALIV_CON_VEH;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification;CON_VEH;NoFixedValue;15;0;0;0;Cyclic
ALIV_DT_DISP_GRDT;4;Intel;Unsigned;0;1;0;0;14;14;<none>;Standard alive counter validation as per definition in the requirements specification;DT_DISP_GRDT;NoFixedValue;15;0;0;0;Cyclic
ALIV_EBCM_STATUS;4;Intel;Unsigned;0;1;0;0;14;;<none>;Alive counter;EBCM_STATUS;NoFixedValue;15;0;0;0;Cyclic
ALIV_EXTS_ARB_INTF;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification Allgemeine Bordnetzkommunikation.;BundleEAFlexrayToAECANFD10msNo1;NoFixedValue;15;50;0;0;Cyclic
ALIV_HighVoltageStorage10msNo2;8;Intel;Unsigned;0;1;0;0;254;;<none>;Standard alive counter validation as per definition in the requirements specification;HighVoltageStorage10msNo2;NoFixedValue;15;0;0;0;Cyclic
ALIV_RQ_RPM_BAX;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification Allgemeine Bordnetzkommunikation;BundleEAFlexrayToAECANFD10msNo1;NoFixedValue;15;50;0;0;Cyclic
ALIV_RQ_RPM_FTAX;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification Allgemeine Bordnetzkommunikation.;BundleEAFlexrayToAECANFD10msNo1;NoFixedValue;15;50;0;0;Cyclic
ALIV_SFA_SteerWheel_Info;4;Intel;Unsigned;0;1;0;0;14;;<none>;Alive Counter;SFA_SteerWheel_Info;NoFixedValue;15;0;0;0;Cyclic
ALIV_ST_GWS;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification;ST_GWS;NoFixedValue;14;0;0;0;Cyclic
ALIV_ST_STAB_DSC;4;Intel;Unsigned;0;1;0;0;14;;<none>;Standard alive counter validation as per definition in the requirements specification Allgemeine Bordnetzkommunikation.;ST_STAB_DSC;NoFixedValue;15;0;0;0;Cyclic
