Name;ID;ID-Format;DLC [Byte];Tx Method;Cycle Time;Transmitter;Comment;NmAsrMessage;GenMsgStartDelayTime;GenMsgNrOfRepetition;GenMsgILSupport;DiagUudtResponse;DiagState;GenMsgSendType;GenMsgDelayTime;GenMsgCycleTime;GenMsgCycleTimeFast;DiagResponse;DiagRequest
A_TEMP;0x2ED;CAN FD Standard;2;Cyclic;1000;ZCU_F;ambient temperature message;No;0;0;Yes;False;No;Cyclic;0;1000;0;No;No
CLAMP_STAT;0x1F1;CAN FD Standard;3;Cyclic;100;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;100;0;No;No
CON_VEH;0x3C;CAN FD Standard;8;Cyclic;100;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;100;0;No;No
ERRM_BN_U;0x92;CAN FD Standard;2;Cyclic;5000;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;5000;0;No;No
FAHRGESTELLNUMMER;0x380;CAN FD Standard;7;NoMsgSendType;100;ZCU_F;;No;0;0;Yes;False;No;NoMsgSendType;0;100;0;No;No
FZU_ChargingControl;0x1C3;CAN FD Standard;1;Cyclic;100;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;100;0;No;No
FZZSTD;0x276;CAN FD Standard;8;Cyclic;5000;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;5000;0;No;No
KILOMETERSTAND;0x330;CAN FD Standard;8;Cyclic;10000;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;10000;0;No;No
Kilometerstand_2;0x1EA;CAN FD Standard;8;Cyclic;300;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;300;0;No;No
Networkmanagement3_Status;0x510;CAN FD Standard;8;Cyclic;100;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;100;0;No;No
RELATIVZEIT;0x442;CAN FD Standard;4;Cyclic;1000;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;1000;0;No;No
ST_GWS;0x197;CAN FD Standard;4;Cyclic;30;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;30;0;No;No
STAT_ANHAENGER;0x278;CAN FD Standard;8;Cyclic;5000;ZCU_F;;No;0;0;Yes;False;No;Cyclic;0;5000;0;No;No
